Property_Address,City,State,Distress_Signal,Signal_Date,Owner_Name,Phone
"8605 WHITE ROCK TRL, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T22:00:24.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10205 LANSHIRE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T21:44:40.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9316 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T21:42:27.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10206 LAKEMERE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T21:41:13.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9612 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T21:39:50.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10512 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-12T21:38:38.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9600 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-12T18:56:25.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11601 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-12T18:39:21.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9202 CLUB GLEN DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-12T16:50:17.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9815 BENT BRANCH LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-12T16:39:50.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
