Property_Address,City,State,Distress_Signal,Signal_Date,Owner_Name,Phone
"8201 FAIR OAKS XING, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T19:49:02.000,KAREN SANCHEZ,972-419-5851
"11600 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T18:34:24.000,ANDREW GARCIA,972-782-3384
"8795 WALNUT HILL LN, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T17:50:18.000,BARBARA ANDERSON,469-881-4917
"10610 METRIC DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T16:21:35.000,JOSHUA DAVIS,214-288-1551
"10939 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:13:25.000,JOSHUA RAMIREZ,469-373-3591
"10416 CHURCH RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:11:40.000,ANDREW WHITE,972-370-3656
"9506 OVERWOOD RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:10:17.000,JESSICA GONZALEZ,214-616-4272
"10531 LAS BRISAS DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T16:04:41.000,JESSICA WHITE,469-278-5793
"10062 ROYAL LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:42:12.000,COUNTRY SQUIRE VENTURE,972-241-1188
"PLANO RD & L B J FWY WB, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:39:51.000,ROBERT MILLER,972-982-7373
"11032 GLEN ECHO CT, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:32:51.000,SARAH BROWN,469-381-4169
"10132 RIDGEHAVEN DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T13:39:43.000,DONALD ROBINSON,972-244-4162
"8231 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T13:16:50.000,MATTHEW CLARK,214-994-6235
"10609 GREYFRIARS LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T12:11:18.000,DAVID MARTINEZ,214-657-9252
"9200 MARKANNE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:56:28.000,LISA MARTINEZ,972-854-4867
"8446 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:53:21.000,BARBARA WRIGHT,469-261-2395
"12160 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:21:42.000,DONALD SMITH,972-610-5790
"12220 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:19:25.000,JESSICA MILLER,469-267-4112
"9530 FORESTVIEW ST, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T10:10:23.000,CHRISTOPHER ROBINSON,469-662-8127
"9029 CHURCH RD, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T08:55:46.000,JOSEPH SANCHEZ,469-956-4566
"8329 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T07:09:51.000,PAUL GARCIA,214-840-5878
"8330 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T03:44:13.000,MATTHEW TAYLOR,214-325-1210
"9957 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:32:55.000,CODY ADAMS,214-528-7690
"9916 ACKLIN DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:30:33.000,CHRIS D KOEBERLE,214-349-4102
"13102 HALWIN CIR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:28:16.000,ON Q PROPERTY MGMT (RENTAL),480-696-6776
"9939 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T19:28:01.000,DERRICK ADAMS,214-575-8933
"8109 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,TX,Single Family Rental Needs Registration - CCS,2026-07-01T16:49:43.000,SARAH SMITH,972-213-1916
"10255 BLACK HICKORY RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T15:49:26.000,GARY BARKEY,972-437-9811
"9218 LEASIDE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-01T15:48:23.000,JOHN PIROZZOLO,214-349-5818
"8580 ABRAMS RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T15:29:37.000,ELIZABETH LEE,972-555-9908
"9690 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:45:58.000,MARK JONES,214-417-8055
"10798 COLEWOOD LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:45:08.000,DANIEL WHITE,214-235-2277
"11700 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:32:19.000,CHARLES ROBINSON,972-298-5238
"12321 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:05:11.000,MICHAEL RODRIGUEZ,214-600-3371
