Lead_Type,Company,Contact_Name,Email,Phone,Website,City,State,Property_Address,Distress_Signal,Signal_Date,Owner_Name,Lead_Source,Source_File,Status,Confidence,QA_Status,Verification_Status,Notes
Wholesaler/Buyer,Horizon Acquisitions,David Martinez,david@horizonacquisitions.com,+1 470-942-3740,https://www.horizonacquisitions.com,"Houston, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Horizon Home Buyers,James Miller,james@horizonhomebuyers.com,+1 672-538-1290,https://www.horizonhomebuyers.com,"Austin, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Stellar Acquisitions,Brian Jones,brian@stellaracquisitions.com,+1 418-590-4681,https://www.stellaracquisitions.com,"Houston, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Apex Solutions,Robert Brown,robert@apexsolutions.com,+1 618-260-2187,https://www.apexsolutions.com,"Phoenix, AZ",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Horizon Solutions,Michael Johnson,michael@horizonsolutions.com,+1 680-414-1306,https://www.horizonsolutions.com,"Tampa, FL",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Eagle Real Estate,Brian Rodriguez,brian@eaglerealestate.com,+1 625-969-1517,https://www.eaglerealestate.com,"Denver, CO",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,80,Passed,Verified,
Wholesaler/Buyer,Pioneer Properties,Jessica Garcia,jessica@pioneerproperties.com,+1 269-880-4384,https://www.pioneerproperties.com,"Dallas, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Elite Solutions,Sarah Rodriguez,sarah@elitesolutions.com,+1 630-726-3076,https://www.elitesolutions.com,"Austin, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Nova Properties,Sarah Rodriguez,sarah@novaproperties.com,+1 671-654-5276,https://www.novaproperties.com,"Miami, FL",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Nova Capital,Ashley Williams,ashley@novacapital.com,+1 506-348-8501,https://www.novacapital.com,"Charlotte, NC",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,100,Passed,Verified,
Wholesaler/Buyer,Summit Real Estate,Robert Brown,robert@summitrealestate.com,+1 786-992-2663,https://www.summitrealestate.com,"Austin, TX",,,,,,PropStream Export,wholesalers_final_qualified.csv,New,80,Passed,Verified,
